Found local copy...
Found local copy...
Found local copy...
These perturbations are not in the GO graph and their perturbation can thus not be predicted
['RHOXF2BB+ctrl' 'LYL1+IER5L' 'ctrl+IER5L' 'KIAA1804+ctrl' 'IER5L+ctrl'
 'RHOXF2BB+ZBTB25' 'RHOXF2BB+SET']
Local copy of pyg dataset is detected. Loading...
Done!
Local copy of split is detected. Loading...
Simulation split test composition:
combo_seen0:9
combo_seen1:43
combo_seen2:19
unseen_single:36
Done!
Creating dataloaders....
Done!
Found local copy...
[HCE] GO terms: 16, lambda_hce: 0.3, n_genes: 5045, n_perts: 9853
Start Training with HCE...
Epoch 7: Val MSE=0.0739 | Val Pearson=0.8160 | HCE loss=0.0051
Epoch 8 Step 1 | total=0.4866 mse=0.4861 hce=0.0015
Epoch 8 Step 51 | total=0.4852 mse=0.4799 hce=0.0179
Epoch 8 Step 101 | total=0.4753 mse=0.4722 hce=0.0106
Epoch 8 Step 151 | total=0.5227 mse=0.5219 hce=0.0028
Epoch 8 Step 201 | total=0.5231 mse=0.5214 hce=0.0057
Epoch 8 Step 251 | total=0.4915 mse=0.4907 hce=0.0027
Epoch 8 Step 301 | total=0.6061 mse=0.6052 hce=0.0028
Epoch 8 Step 351 | total=0.4960 mse=0.4950 hce=0.0033
Epoch 8 Step 401 | total=0.5230 mse=0.5220 hce=0.0033
Epoch 8 Step 451 | total=0.5883 mse=0.5877 hce=0.0022
Epoch 8 Step 501 | total=0.4658 mse=0.4643 hce=0.0049
Epoch 8 Step 551 | total=0.4744 mse=0.4727 hce=0.0058
Epoch 8 Step 601 | total=0.4777 mse=0.4765 hce=0.0038
Epoch 8 Step 651 | total=0.4730 mse=0.4663 hce=0.0224
Epoch 8 Step 701 | total=0.6239 mse=0.6232 hce=0.0023
Epoch 8 Step 751 | total=0.5460 mse=0.5453 hce=0.0024
Epoch 8 Step 801 | total=0.5268 mse=0.5260 hce=0.0027
Epoch 8 Step 851 | total=0.5021 mse=0.5011 hce=0.0031
Epoch 8 Step 901 | total=0.4926 mse=0.4920 hce=0.0019
Epoch 8 Step 951 | total=0.5442 mse=0.5430 hce=0.0039
Epoch 8 Step 1001 | total=0.5737 mse=0.5706 hce=0.0104
Epoch 8 Step 1051 | total=0.5019 mse=0.5013 hce=0.0020
Epoch 8 Step 1101 | total=0.4844 mse=0.4835 hce=0.0030
